pair,buy_exchange,buy_price,sell_exchange,sell_price,spread,spread_pct,timestamp
SOL/USDC,Coinbase,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:30:39.529549+05:30
SOL/USDC,Coinbase,151.82,Binance,152.66,0.84,0.5533,2025-06-02 19:30:39.747695+05:30
SOL/USDC,Coinbase,151.83,Binance,152.66,0.83,0.5467,2025-06-02 19:30:39.967284+05:30
SOL/USDC,Coinbase,151.8,Binance,152.66,0.86,0.5665,2025-06-02 19:30:40.18148+05:30
SOL/USDC,Coinbase,151.81,Binance,152.66,0.85,0.5599,2025-06-02 19:30:40.397879+05:30
SOL/USDC,Hyperliquid,151.805,Binance,152.66,0.855,0.5632,2025-06-02 19:30:40.615609+05:30
SOL/USDC,Coinbase,151.78,Binance,152.66,0.88,0.5798,2025-06-02 19:30:42.356734+05:30
SOL/USDC,Coinbase,151.74,Binance,152.66,0.92,0.6063,2025-06-02 19:30:42.789535+05:30
SOL/USDC,Coinbase,151.697,Binance,152.66,0.963,0.6348,2025-06-02 19:30:43.008221+05:30
SOL/USDC,Coinbase,151.78,Binance,152.66,0.88,0.5798,2025-06-02 19:30:43.239169+05:30
SOL/USDC,Coinbase,151.74,Binance,152.66,0.92,0.6063,2025-06-02 19:30:43.704766+05:30
SOL/USDC,Coinbase,151.76,Binance,152.66,0.9,0.593,2025-06-02 19:30:44.58676+05:30
SOL/USDC,Hyperliquid,151.785,Binance,152.66,0.875,0.5765,2025-06-02 19:30:45.020592+05:30
SOL/USDC,Kucoin,151.79,Binance,152.66,0.87,0.5732,2025-06-02 19:30:46.1014+05:30
SOL/USDC,Hyperliquid,151.82,Binance,152.66,0.84,0.5533,2025-06-02 19:30:46.537225+05:30
SOL/USDC,Hyperliquid,151.825,Binance,152.66,0.835,0.55,2025-06-02 19:30:46.752097+05:30
SOL/USDC,Coinbase,151.82,Binance,152.66,0.84,0.5533,2025-06-02 19:30:48.918585+05:30
SOL/USDC,Hyperliquid,151.825,Binance,152.66,0.835,0.55,2025-06-02 19:30:49.133358+05:30
SOL/USDC,Hyperliquid,151.825,Binance,152.66,0.835,0.55,2025-06-02 19:30:51.286503+05:30
SOL/USDC,Coinbase,151.85,Binance,152.66,0.81,0.5334,2025-06-02 19:30:51.718567+05:30
SOL/USDC,Kucoin,151.86,Binance,152.66,0.8,0.5268,2025-06-02 19:30:52.152532+05:30
SOL/USDC,Coinbase,151.84,Binance,152.66,0.82,0.54,2025-06-02 19:30:53.659155+05:30
SOL/USDC,Coinbase,151.77,Binance,152.66,0.89,0.5864,2025-06-02 19:30:53.873528+05:30
SOL/USDC,Coinbase,151.82,Binance,152.66,0.84,0.5533,2025-06-02 19:30:54.51788+05:30
SOL/USDC,Hyperliquid,151.81,Binance,152.66,0.85,0.5599,2025-06-02 19:30:56.031153+05:30
SOL/USDC,Hyperliquid,151.805,Binance,152.66,0.855,0.5632,2025-06-02 19:30:56.46678+05:30
SOL/USDC,Hyperliquid,151.82,Binance,152.66,0.84,0.5533,2025-06-02 19:30:57.123381+05:30
SOL/USDC,Kucoin,151.86,Binance,152.66,0.8,0.5268,2025-06-02 19:30:57.582515+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:30:58.446584+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:00.612905+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:02.771057+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:04.935052+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:07.101594+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:09.259971+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:11.42517+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:13.580082+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:15.749397+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:17.896844+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:20.055519+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:22.225839+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:24.387072+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:26.550607+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:28.724588+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:30.8759+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:33.028676+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:35.181444+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:37.334886+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:39.489301+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:41.653052+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:43.820729+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:45.979848+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:48.137096+05:30
SOL/USDC,GateIo,151.87,Binance,152.66,0.79,0.5202,2025-06-02 19:31:50.296537+05:30
SOL/USDC,Binance,152.74,Coinbase,153.54,0.8,0.5238,2025-06-02 19:53:04.381049+05:30
SOL/USDC,Binance,152.74,Coinbase,153.55,0.81,0.5303,2025-06-02 19:53:05.176008+05:30
SOL/USDC,Binance,152.74,Coinbase,153.53,0.79,0.5172,2025-06-02 19:53:06.006606+05:30
SOL/USDC,Binance,152.74,Coinbase,153.543,0.803,0.5257,2025-06-02 19:53:06.220457+05:30
SOL/USDC,Binance,152.74,Coinbase,153.543,0.803,0.5257,2025-06-02 19:53:08.381721+05:30
SOL/USDC,Binance,152.74,Coinbase,153.54,0.8,0.5238,2025-06-02 19:53:09.898621+05:30
SOL/USDC,Binance,152.74,Coinbase,153.52,0.78,0.5107,2025-06-02 19:53:22.472797+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:53:24.429993+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:53:26.584475+05:30
SOL/USDC,Binance,152.74,Coinbase,153.53,0.79,0.5172,2025-06-02 19:53:27.658366+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:53:28.312152+05:30
SOL/USDC,Binance,152.74,Coinbase,153.53,0.79,0.5172,2025-06-02 19:53:29.607612+05:30
SOL/USDC,Binance,152.74,Coinbase,153.52,0.78,0.5107,2025-06-02 19:53:31.760653+05:30
SOL/USDC,Binance,152.74,Coinbase,153.55,0.81,0.5303,2025-06-02 19:53:32.199218+05:30
SOL/USDC,Binance,152.74,Coinbase,153.52,0.78,0.5107,2025-06-02 19:53:32.41287+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:53:32.840826+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:53:34.987413+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:53:37.190067+05:30
SOL/USDC,Binance,152.74,Coinbase,153.52,0.78,0.5107,2025-06-02 19:54:10.222626+05:30
SOL/USDC,Binance,152.74,Coinbase,153.53,0.79,0.5172,2025-06-02 19:54:11.316543+05:30
SOL/USDC,Binance,152.74,Coinbase,153.53,0.79,0.5172,2025-06-02 19:54:13.464127+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:54:16.715426+05:30
SOL/USDC,Binance,152.74,Coinbase,153.546,0.806,0.5277,2025-06-02 19:54:22.3621+05:30
SOL/USDC,Binance,152.74,Coinbase,153.54,0.8,0.5238,2025-06-02 19:54:22.798569+05:30
SOL/USDC,Binance,152.74,Coinbase,153.54,0.8,0.5238,2025-06-02 19:54:24.983524+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:54:25.851602+05:30
SOL/USDC,Binance,152.74,Coinbase,153.504,0.764,0.5002,2025-06-02 19:54:39.574968+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:54:41.312403+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:55:11.230997+05:30
SOL/USDC,Binance,152.74,Coinbase,153.51,0.77,0.5041,2025-06-02 19:55:13.274959+05:30
SOL/USDC,Binance,152.74,Coinbase,153.54,0.8,0.5238,2025-06-02 19:55:14.472732+05:30
SOL/USDC,Binance,152.74,Coinbase,153.55,0.81,0.5303,2025-06-02 19:55:14.887682+05:30
SOL/USDC,Binance,152.74,Coinbase,153.54,0.8,0.5238,2025-06-02 19:55:15.290024+05:30
SOL/USDC,Binance,152.74,Coinbase,153.56,0.82,0.5369,2025-06-02 19:55:15.689669+05:30
SOL/USDC,Binance,152.74,Coinbase,153.57,0.83,0.5434,2025-06-02 19:55:16.864488+05:30
SOL/USDC,Binance,152.74,Jupiter,153.5622,0.8222,0.5383,2025-06-02 19:55:17.647523+05:30
SOL/USDC,Binance,152.74,Jupiter,153.5706,0.8306,0.5438,2025-06-02 19:55:18.051273+05:30
SOL/USDC,Binance,152.74,Jupiter,153.5689,0.8289,0.5427,2025-06-02 19:55:18.441627+05:30
SOL/USDC,Binance,152.74,Jupiter,153.5529,0.8129,0.5322,2025-06-02 19:55:18.835149+05:30
